Block Type,96-Well 0.2-mL Block,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,
Calibration Background performed on,08-31-2017,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,
Calibration Pure Dye ABY performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye CY5 is expired,No,,,,,,,,,,,
Calibration Pure Dye CY5 performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,
Calibration Pure Dye FAM performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,
Calibration Pure Dye JUN performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE is expired,No,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,
Calibration Pure Dye NED performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,
Calibration Pure Dye ROX performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,
Calibration Pure Dye VIC performed on,04-05-2017,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,
Calibration ROI performed on,04-05-2017,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,
Calibration Uniformity performed on,04-05-2017,,,,,,,,,,,
Chemistry,OTHER,,,,,,,,,,,
78,      G6,1,"29,262.441","24,634.641","3,401.029","2,654.929","2,333.583","2,136.622","2,092.002",969.691,"-2,302.761",348.181
79,      G7,1,"19,310.977","14,037.843","2,080.308","1,591.647","1,076.519","1,640.811","1,736.596","1,379.396",934.887,378.692
80,      G8,1,"20,720.025","20,091.715","2,298.878","2,052.673","1,003.482","1,031.603",-174.122,106.952,"-5,165.004",-240.818
81,      G9,1,"76,736.984","55,795.746","7,407.758","5,830.691","4,850.949","5,184.583","4,734.203","1,643.085",520.662,634.097
82,      G10,1,"59,030.234","47,270.258","5,313.599","4,123.153","3,082.146","3,654.721","2,154.226","1,788.770","-2,019.383",225.264
83,      G11,1,"50,414.184","26,991.438","2,883.378","-1,055.070","-4,120.798","-1,443.249","-1,214.641","1,627.118",-173.940,192.258
84,      G12,1,"6,359.586","5,641.564","1,512.651",789.403,"1,151.623","1,290.908","2,844.440","1,338.951","1,132.900",636.690
85,      H1,1,"90,222.047","64,352.996","10,661.093","10,631.355","8,739.415","11,794.055","14,206.826","6,130.443","2,928.491","1,864.322"
86,      H2,1,"-16,461.016","-22,009.410","-7,643.474","-7,890.286","-8,240.504","-13,027.495","-15,070.231","-10,880.854","-10,649.460","-8,454.445"
87,      H3,1,"14,219.712","14,627.946","1,721.163","1,252.821","1,383.064","2,268.191","1,241.463",714.541,"-3,994.439",-943.116
88,      H4,1,"19,342.275","10,562.131","1,822.824","1,620.313","1,267.870","1,698.910","1,770.777",790.042,"1,242.289","1,346.406"
89,      H5,1,"25,892.719","23,205.723","2,406.362","1,859.574","1,475.776","3,961.905","4,866.024","2,844.029","-2,263.229",-107.810
90,      H6,1,"34,752.500","23,387.303","2,953.240","2,708.653","2,314.271","6,446.681","8,393.877","4,265.310","2,083.521","2,054.976"
91,      H7,1,"-1,007.636","3,606.034",31.844,187.910,579.465,"3,217.618","3,440.854","2,534.160","-3,995.674",-925.068
92,      H8,1,"-8,909.540","-1,630.412",-871.730,-202.629,-837.206,979.091,"1,698.621","1,073.318",-419.365,154.810
93,      H9,1,"5,796.829","8,554.828",851.434,944.131,824.125,982.639,424.237,262.761,"-4,420.710",-855.897
94,      H10,1,"92,631.977","62,262.828","7,803.332","6,771.021","5,102.276","6,615.522","5,442.366","2,361.238","1,098.642",618.138
95,      H11,1,"20,022.904","12,732.336","1,269.958","2,607.958","2,975.323","4,308.793","12,174.755","3,328.411","1,517.371",209.458
96,      H12,1,"37,750.449","22,932.086","2,766.064","1,800.599",591.168,-525.108,-678.173,-547.805,"2,379.546","1,729.809"
1,      A1,2,"11,189.258","-2,923.022",-634.237,-137.161,-410.479,"10,366.559","20,145.490","28,010.080","21,025.426","13,854.986"
2,      A2,2,"9,634.562",525.952,122.489,597.138,473.918,"13,399.552","22,490.049","30,175.598","21,132.150","13,024.111"
3,      A3,2,"-3,166.290",-669.859,"-1,672.716",83.071,159.588,"16,367.776","28,080.490","35,217.254","17,376.012","13,688.111"
4,      A4,2,"5,875.467",85.622,-922.355,170.394,386.291,"13,543.009","23,527.855","27,911.893","18,293.275","12,126.533"
5,      A5,2,"45,134.770","13,505.514",868.326,419.595,854.764,"15,198.613","25,829.439","29,552.145","19,818.445","11,845.949"
6,      A6,2,"9,430.897","1,780.545",-18.744,-62.353,616.014,"14,079.051","23,898.635","27,634.385","15,214.354","10,679.628"
